m,TagName,
"2010-12-01 00:00:00","javascript","4947"
"2010-12-01 00:00:00","perl","501"
"2010-12-01 00:00:00","php","5323"
"2010-12-01 00:00:00","python","2469"
"2010-12-01 00:00:00","r","222"
"2010-12-01 00:00:00","ruby","1020"
"2010-12-01 00:00:00","swift","2"
"2011-01-01 00:00:00","assembly","133"
"2011-01-01 00:00:00","c","1458"
"2011-01-01 00:00:00","c#","7968"
"2011-01-01 00:00:00","c++","3480"
"2011-01-01 00:00:00","delphi","368"
"2011-01-01 00:00:00","go","15"
"2011-01-01 00:00:00","java","6520"
"2011-01-01 00:00:00","javascript","5409"
"2011-01-01 00:00:00","perl","473"
"2011-01-01 00:00:00","php","6359"
"2011-01-01 00:00:00","python","2895"
"2011-01-01 00:00:00","r","249"
"2011-01-01 00:00:00","ruby","1201"
"2011-01-01 00:00:00","swift","4"
"2011-02-01 00:00:00","assembly","147"
"2011-02-01 00:00:00","c","1631"
"2011-02-01 00:00:00","c#","8195"
"2011-02-01 00:00:00","c++","3432"
"2011-02-01 00:00:00","delphi","358"
"2011-02-01 00:00:00","go","16"
"2011-02-01 00:00:00","java","6845"
"2011-02-01 00:00:00","javascript","5588"
"2011-02-01 00:00:00","perl","481"
"2011-02-01 00:00:00","php","6650"
"2011-02-01 00:00:00","python","3002"
"2011-02-01 00:00:00","r","322"
"2011-02-01 00:00:00","ruby","1247"
"2011-02-01 00:00:00","swift","5"
"2011-03-01 00:00:00","assembly","193"
"2011-03-01 00:00:00","c","2107"
"2011-03-01 00:00:00","c#","9961"
"2011-03-01 00:00:00","c++","4163"
"2011-03-01 00:00:00","delphi","515"
"2011-03-01 00:00:00","go","3"
"2011-03-01 00:00:00","java","8443"
"2011-03-01 00:00:00","javascript","6743"
"2011-03-01 00:00:00","perl","604"
"2011-03-01 00:00:00","php","8026"
"2011-03-01 00:00:00","python","3739"
"2011-03-01 00:00:00","r","422"
"2011-03-01 00:00:00","ruby","1635"
"2011-03-01 00:00:00","swift","3"
"2011-04-01 00:00:00","assembly","160"
"2011-04-01 00:00:00","c","2031"
"2011-04-01 00:00:00","c#","9247"
"2011-04-01 00:00:00","c++","4155"
"2011-04-01 00:00:00","delphi","400"
"2011-04-01 00:00:00","go","7"
"2011-04-01 00:00:00","java","7876"
"2011-04-01 00:00:00","javascript","6865"
"2011-04-01 00:00:00","perl","549"
"2011-04-01 00:00:00","php","7549"
"2011-04-01 00:00:00","python","3319"
"2011-04-01 00:00:00","r","474"
"2011-04-01 00:00:00","ruby","1475"
"2011-04-01 00:00:00","swift","3"
"2011-05-01 00:00:00","assembly","158"
"2011-05-01 00:00:00","c","1824"
"2011-05-01 00:00:00","c#","9960"
"2011-05-01 00:00:00","c++","3860"
"2011-05-01 00:00:00","delphi","472"
"2011-05-01 00:00:00","go","36"
"2011-05-01 00:00:00","java","8513"
"2011-05-01 00:00:00","javascript","7285"
"2011-05-01 00:00:00","perl","580"
"2011-05-01 00:00:00","php","8026"
"2011-05-01 00:00:00","python","3509"
"2011-05-01 00:00:00","r","425"
"2011-05-01 00:00:00","ruby","1562"
"2011-05-01 00:00:00","swift","1"
"2011-06-01 00:00:00","assembly","139"
"2011-06-01 00:00:00","c","1758"
"2011-06-01 00:00:00","c#","9707"
"2011-06-01 00:00:00","c++","3792"
"2011-06-01 00:00:00","delphi","450"
"2011-06-01 00:00:00","go","34"
"2011-06-01 00:00:00","java","7855"
"2011-06-01 00:00:00","javascript","7652"
"2011-06-01 00:00:00","perl","566"
"2011-06-01 00:00:00","php","7975"
"2011-06-01 00:00:00","python","3454"
"2011-06-01 00:00:00","r","442"
"2011-06-01 00:00:00","ruby","1553"
"2011-06-01 00:00:00","swift","4"
"2011-07-01 00:00:00","assembly","140"
"2011-07-01 00:00:00","c","1654"
"2011-07-01 00:00:00","c#","9549"
"2011-07-01 00:00:00","c++","3836"
"2011-07-01 00:00:00","delphi","428"
"2011-07-01 00:00:00","go","26"
"2011-07-01 00:00:00","java","8117"
"2011-07-01 00:00:00","javascript","8072"
"2011-07-01 00:00:00","perl","657"
"2011-07-01 00:00:00","php","8576"
"2011-07-01 00:00:00","python","3644"
"2011-07-01 00:00:00","r","453"
"2011-07-01 00:00:00","ruby","1576"
"2011-07-01 00:00:00","swift","12"
"2011-08-01 00:00:00","assembly","159"
"2011-08-01 00:00:00","c","1826"
"2011-08-01 00:00:00","c#","9995"
"2011-08-01 00:00:00","c++","3941"
"2011-08-01 00:00:00","delphi","420"
"2011-08-01 00:00:00","go","40"
"2011-08-01 00:00:00","java","8621"
"2011-08-01 00:00:00","javascript","8860"
"2011-08-01 00:00:00","perl","609"
"2011-08-01 00:00:00","php","8817"
"2011-08-01 00:00:00","python","3810"
"2011-08-01 00:00:00","r","586"
"2011-08-01 00:00:00","ruby","1847"
"2011-08-01 00:00:00","swift","8"
"2011-09-01 00:00:00","assembly","154"
"2011-09-01 00:00:00","c","1913"
"2011-09-01 00:00:00","c#","9228"
"2011-09-01 00:00:00","c++","3924"
"2011-09-01 00:00:00","delphi","413"
"2011-09-01 00:00:00","go","26"
"2011-09-01 00:00:00","java","8273"
"2011-09-01 00:00:00","javascript","8125"
"2011-09-01 00:00:00","perl","500"
"2011-09-01 00:00:00","php","7960"
"2011-09-01 00:00:00","python","3502"
"2011-09-01 00:00:00","r","611"
"2011-09-01 00:00:00","ruby","1541"
"2011-09-01 00:00:00","swift","6"
"2011-10-01 00:00:00","assembly","212"
"2011-10-01 00:00:00","c","2136"
"2011-10-01 00:00:00","c#","9143"
"2011-10-01 00:00:00","c++","4326"
"2011-10-01 00:00:00","delphi","463"
"2011-10-01 00:00:00","go","39"
"2011-10-01 00:00:00","java","8487"
"2011-10-01 00:00:00","javascript","7967"
"2011-10-01 00:00:00","perl","554"
"2011-10-01 00:00:00","php","7952"
"2011-10-01 00:00:00","python","3596"
"2011-10-01 00:00:00","r","618"
"2011-10-01 00:00:00","ruby","1599"
"2011-10-01 00:00:00","swift","6"
"2011-11-01 00:00:00","assembly","211"
"2011-11-01 00:00:00","c","2193"
"2011-11-01 00:00:00","c#","9830"
"2011-11-01 00:00:00","c++","4444"
"2011-11-01 00:00:00","delphi","504"
"2011-11-01 00:00:00","go","65"
"2011-11-01 00:00:00","java","9560"
"2011-11-01 00:00:00","javascript","8583"
"2011-11-01 00:00:00","perl","601"
"2011-11-01 00:00:00","php","8566"
"2011-11-01 00:00:00","python","3850"
"2011-11-01 00:00:00","r","605"
"2011-11-01 00:00:00","ruby","1729"
"2011-11-01 00:00:00","swift","4"
"2011-12-01 00:00:00","assembly","227"
"2011-12-01 00:00:00","c","1996"
"2011-12-01 00:00:00","c#","9236"
"2011-12-01 00:00:00","c++","4323"
"2011-12-01 00:00:00","delphi","570"
"2011-12-01 00:00:00","go","52"
"2011-12-01 00:00:00","java","9103"
"2011-12-01 00:00:00","javascript","8255"
"2011-12-01 00:00:00","perl","536"
"2011-12-01 00:00:00","php","8248"
"2011-12-01 00:00:00","python","3599"
"2011-12-01 00:00:00","r","612"
"2011-12-01 00:00:00","ruby","1664"
"2011-12-01 00:00:00","swift","2"
"2012-01-01 00:00:00","assembly","169"
"2012-01-01 00:00:00","c","2211"
"2012-01-01 00:00:00","c#","10298"
"2012-01-01 00:00:00","c++","4509"
"2012-01-01 00:00:00","delphi","507"
"2012-01-01 00:00:00","go","37"
"2012-01-01 00:00:00","java","10045"
"2012-01-01 00:00:00","javascript","9514"
"2012-01-01 00:00:00","perl","560"
"2012-01-01 00:00:00","php","9141"
"2012-01-01 00:00:00","python","4168"
"2012-01-01 00:00:00","r","689"
"2012-01-01 00:00:00","ruby","1880"
"2012-01-01 00:00:00","swift","6"
"2012-02-01 00:00:00","assembly","229"
"2012-02-01 00:00:00","c","2390"
"2012-02-01 00:00:00","c#","10650"
"2012-02-01 00:00:00","c++","5067"
"2012-02-01 00:00:00","delphi","471"
"2012-02-01 00:00:00","go","31"
"2012-02-01 00:00:00","java","10844"
"2012-02-01 00:00:00","javascript","9878"
"2012-02-01 00:00:00","perl","610"
"2012-02-01 00:00:00","php","9785"
"2012-02-01 00:00:00","python","4469"
"2012-02-01 00:00:00","r","811"
"2012-02-01 00:00:00","ruby","2029"
"2012-02-01 00:00:00","swift","9"
"2012-03-01 00:00:00","assembly","260"
"2012-03-01 00:00:00","c","2700"
"2012-03-01 00:00:00","c#","11452"
"2012-03-01 00:00:00","c++","5182"
"2012-03-01 00:00:00","delphi","492"
"2012-03-01 00:00:00","go","47"
"2012-03-01 00:00:00","java","12241"
"2012-03-01 00:00:00","javascript","10596"
"2012-03-01 00:00:00","perl","608"
"2012-03-01 00:00:00","php","10735"
"2012-03-01 00:00:00","python","4992"
"2012-03-01 00:00:00","r","887"
"2012-03-01 00:00:00","ruby","2172"
"2012-03-01 00:00:00","swift","4"
"2012-04-01 00:00:00","assembly","276"
"2012-04-01 00:00:00","c","2656"
"2012-04-01 00:00:00","c#","10962"
"2012-04-01 00:00:00","c++","5256"
"2012-04-01 00:00:00","delphi","480"
"2012-04-01 00:00:00","go","69"
"2012-04-01 00:00:00","java","11885"
"2012-04-01 00:00:00","javascript","10551"
"2012-04-01 00:00:00","perl","596"
"2012-04-01 00:00:00","php","10239"
"2012-04-01 00:00:00","python","4878"
"2012-04-01 00:00:00","r","836"
"2012-04-01 00:00:00","ruby","1947"
"2012-04-01 00:00:00","swift","5"
"2012-05-01 00:00:00","assembly","225"
"2012-05-01 00:00:00","c","2457"
"2012-05-01 00:00:00","c#","11392"
"2012-05-01 00:00:00","c++","4935"
"2012-05-01 00:00:00","delphi","473"
"2012-05-01 00:00:00","go","69"
"2012-05-01 00:00:00","java","12027"
"2012-05-01 00:00:00","javascript","11379"
"2012-05-01 00:00:00","perl","639"
"2012-05-01 00:00:00","php","10781"
"2012-05-01 00:00:00","python","5042"
"2012-05-01 00:00:00","r","868"
"2012-05-01 00:00:00","ruby","1950"
"2012-05-01 00:00:00","swift","7"
"2012-06-01 00:00:00","assembly","200"
"2012-06-01 00:00:00","c","2292"
"2012-06-01 00:00:00","c#","11211"
"2012-06-01 00:00:00","c++","4604"
"2012-06-01 00:00:00","delphi","415"
"2012-06-01 00:00:00","go","71"
"2012-06-01 00:00:00","java","10981"
"2012-06-01 00:00:00","javascript","11126"
"2012-06-01 00:00:00","perl","735"
"2012-06-01 00:00:00","php","10438"
"2012-06-01 00:00:00","python","5224"
"2012-06-01 00:00:00","r","964"
"2012-06-01 00:00:00","ruby","1878"
"2012-06-01 00:00:00","swift","4"
"2012-07-01 00:00:00","assembly","200"
"2012-07-01 00:00:00","c","2354"
"2012-07-01 00:00:00","c#","12211"
"2012-07-01 00:00:00","c++","5235"
"2012-07-01 00:00:00","delphi","435"
"2012-07-01 00:00:00","go","76"
"2012-07-01 00:00:00","java","12148"
"2012-07-01 00:00:00","javascript","12231"
"2012-07-01 00:00:00","perl","665"
"2012-07-01 00:00:00","php","11603"
"2012-07-01 00:00:00","python","5698"
"2012-07-01 00:00:00","r","1110"
"2012-07-01 00:00:00","ruby","2055"
"2012-07-01 00:00:00","swift","9"
"2012-08-01 00:00:00","assembly","189"
"2012-08-01 00:00:00","c","2309"
"2012-08-01 00:00:00","c#","11888"
"2012-08-01 00:00:00","c++","5130"
"2012-08-01 00:00:00","delphi","402"
"2012-08-01 00:00:00","go","72"
"2012-08-01 00:00:00","java","12182"
"2012-08-01 00:00:00","javascript","12360"
"2012-08-01 00:00:00","perl","759"
"2012-08-01 00:00:00","php","11790"
"2012-08-01 00:00:00","python","5844"
"2012-08-01 00:00:00","r","1084"
"2012-08-01 00:00:00","ruby","2052"
"2012-08-01 00:00:00","swift","5"
"2012-09-01 00:00:00","assembly","221"
"2012-09-01 00:00:00","c","2517"
"2012-09-01 00:00:00","c#","11213"
"2012-09-01 00:00:00","c++","4873"
"2012-09-01 00:00:00","delphi","383"
"2012-09-01 00:00:00","go","129"
"2012-09-01 00:00:00","java","11537"
"2012-09-01 00:00:00","javascript","11115"
"2012-09-01 00:00:00","perl","661"
"2012-09-01 00:00:00","php","10888"
"2012-09-01 00:00:00","python","5230"
"2012-09-01 00:00:00","r","1056"
"2012-09-01 00:00:00","ruby","1950"
"2012-09-01 00:00:00","swift","7"
"2012-10-01 00:00:00","assembly","313"
"2012-10-01 00:00:00","c","3144"
"2012-10-01 00:00:00","c#","12644"
"2012-10-01 00:00:00","c++","5883"
"2012-10-01 00:00:00","delphi","475"
"2012-10-01 00:00:00","go","101"
"2012-10-01 00:00:00","java","13403"
"2012-10-01 00:00:00","javascript","12346"
"2012-10-01 00:00:00","perl","682"
"2012-10-01 00:00:00","php","11663"
"2012-10-01 00:00:00","python","6109"
"2012-10-01 00:00:00","r","1263"
